ranker,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf
1,Abilene Christian,33,14,19,.424,-7.18,-1.25,5,13,9,5,3,12,2321,2389,1325,805,1840,.438,189,603,.313,522,741,.704,369,1047,440,321,91,472,691
2,Air Force,32,3,29,.094,-13.66,4.68,0,20,3,15,0,12,1969,2556,1280,696,1637,.425,209,684,.306,368,574,.641,225,931,389,180,76,472,570
3,Akron&nbsp;NCAA,34,29,5,.853,9.04,-3.33,17,1,15,0,9,3,3004,2499,1360,1090,2169,.503,371,979,.379,453,601,.754,386,1294,627,256,105,372,536
4,Alabama&nbsp;NCAA,32,23,9,.719,22.70,14.45,13,5,12,3,7,3,2935,2671,1290,965,2108,.458,405,1131,.358,600,784,.765,391,1300,516,206,162,313,593
5,Alabama A&amp;M,33,18,15,.545,-12.99,-10.49,10,8,12,5,4,8,2378,2393,1325,784,1798,.436,214,616,.347,596,808,.738,311,1126,387,198,93,376,607
6,Alabama State,32,10,22,.313,-14.21,-8.14,7,11,5,4,4,15,2341,2473,1280,814,1952,.417,238,746,.319,475,684,.694,400,1159,396,262,120,418,611
7,Albany (NY),32,11,21,.344,-13.92,-8.09,7,9,6,5,4,13,2303,2332,1280,883,1886,.468,235,702,.335,302,457,.661,360,1100,445,221,128,389,538
8,Alcorn State,32,9,23,.281,-19.82,-6.54,7,11,5,4,2,18,2141,2566,1282,764,1817,.420,204,612,.333,409,578,.708,301,965,356,246,109,436,565
9,American,32,16,16,.500,-6.91,-6.21,9,9,11,6,5,10,2387,2283,1280,843,1876,.449,288,864,.333,413,550,.751,309,1016,428,247,48,338,594
10,Appalachian State,32,19,13,.594,-3.77,-5.67,11,7,11,4,7,8,2305,2114,1285,800,1818,.440,254,837,.303,451,703,.642,391,1251,388,157,118,316,500
11,Arizona&nbsp;NCAA,34,32,2,.941,29.92,12.57,16,2,16,1,9,1,2929,2339,1365,1039,2069,.502,200,555,.360,651,887,.734,434,1446,576,266,144,368,544
12,Arizona State,33,17,16,.515,10.79,12.79,7,11,10,5,2,9,2519,2585,1320,853,1909,.447,245,733,.334,568,754,.753,337,1096,452,231,151,398,567
13,Arkansas&nbsp;NCAA,34,26,8,.765,22.43,12.57,13,5,17,1,5,5,3058,2723,1380,1091,2182,.500,283,728,.389,593,794,.747,375,1227,578,247,174,306,574
14,Arkansas State,32,20,12,.625,-0.65,-4.39,11,7,11,4,9,7,2655,2471,1295,897,1988,.451,298,896,.333,563,768,.733,456,1322,504,239,83,456,596
15,Arkansas-Pine Bluff,32,13,19,.406,-14.79,-6.92,10,8,7,4,6,14,2472,2593,1285,855,1896,.451,242,706,.343,520,689,.755,329,1076,497,229,93,430,623
16,Army,32,11,21,.344,-15.28,-7.14,5,13,6,10,5,10,2309,2471,1305,806,1957,.412,339,1045,.324,358,501,.715,376,1135,481,187,51,381,600
17,Auburn,33,17,16,.515,17.02,13.69,7,11,11,4,2,8,2730,2620,1330,905,1981,.457,262,776,.338,658,885,.744,442,1202,418,246,138,338,577
18,Austin Peay,31,22,9,.710,-2.25,-6.70,15,3,12,1,9,7,2530,2269,1240,874,1867,.468,260,725,.359,522,703,.743,331,1100,502,286,75,336,524
19,Ball State,31,12,19,.387,-9.58,-4.27,7,11,7,7,4,11,2093,2154,1250,741,1765,.420,218,689,.316,393,566,.694,301,1001,393,235,83,330,492
20,Baylor,32,16,16,.500,15.33,11.78,6,12,11,6,3,7,2642,2469,1280,938,1958,.479,263,762,.345,501,684,.732,408,1177,506,210,128,369,518
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,Bellarmine,32,13,19,.406,-9.00,-4.64,7,11,9,5,2,13,2561,2614,1290,907,1741,.521,270,706,.382,477,602,.792,206,892,484,195,55,328,532
22,Belmont,32,26,6,.813,8.95,-0.41,16,4,13,2,11,3,2684,2347,1290,963,1874,.514,349,864,.404,409,597,.685,292,1151,595,196,110,402,564
23,Bethune-Cookman,32,17,15,.531,-9.38,-6.45,14,4,10,1,7,11,2412,2462,1295,855,1834,.466,182,546,.333,520,754,.690,333,1145,437,225,147,442,580
24,Binghamton,31,8,23,.258,-20.67,-10.78,4,12,7,8,1,14,2105,2321,1265,725,1580,.459,164,502,.327,491,659,.745,207,969,361,160,92,382,519
25,Boise State,32,20,12,.625,12.04,7.84,12,8,12,4,6,5,2502,2351,1310,821,1814,.453,266,777,.342,594,756,.786,344,1154,415,147,69,373,544
26,Boston College,31,11,20,.355,3.39,6.65,4,14,10,7,1,10,2090,2191,1260,740,1815,.408,226,769,.294,384,588,.653,332,1135,351,150,128,322,520
27,Boston University,34,17,17,.500,-8.08,-8.23,10,8,10,5,6,12,2566,2514,1395,911,1842,.495,319,811,.393,423,580,.729,282,1097,486,163,111,393,552
28,Bowling Green,32,18,14,.563,0.47,-3.57,9,9,10,7,6,6,2602,2290,1285,921,1935,.476,227,658,.345,533,730,.730,326,1153,454,312,114,368,568
29,Bradley,33,21,12,.636,3.83,0.54,13,7,14,2,4,7,2560,2422,1365,869,1982,.438,286,805,.355,536,731,.733,335,1132,441,265,103,320,615
30,Brigham Young&nbsp;NCAA,34,23,11,.676,21.04,12.45,9,9,12,3,3,6,2853,2561,1365,1010,2117,.477,294,842,.349,539,723,.746,421,1302,459,245,151,369,536
31,Brown,27,9,18,.333,-9.90,-4.66,3,11,6,8,3,10,1900,1892,1100,706,1591,.444,187,589,.317,301,441,.683,291,946,420,216,103,347,483
32,Bryant,31,9,22,.290,-18.19,-7.92,5,11,8,5,1,17,2010,2246,1255,690,1700,.406,247,812,.304,383,513,.747,305,1032,376,183,130,407,507
33,Bucknell,33,10,23,.303,-14.38,-5.44,6,12,6,8,4,12,2223,2518,1336,778,1855,.419,243,793,.306,424,552,.768,303,1037,420,238,59,424,586
34,Buffalo,32,17,15,.531,-3.52,-3.99,7,11,7,8,8,6,2497,2438,1290,838,1773,.473,308,805,.383,513,699,.734,289,1013,465,242,87,348,516
35,Butler,32,16,16,.500,10.47,8.63,7,13,10,7,3,8,2540,2481,1300,869,1923,.452,220,672,.327,582,809,.719,396,1209,497,208,102,362,490
36,Cal Poly,33,14,19,.424,-4.17,-0.20,10,10,8,6,6,11,2710,2805,1325,892,2062,.433,358,1080,.331,568,722,.787,373,1261,451,217,73,501,638
37,Cal State Bakersfield,32,8,24,.250,-12.69,-1.26,2,18,6,11,2,13,2339,2629,1280,795,1891,.420,158,545,.290,591,804,.735,366,1114,355,244,157,434,642
38,Cal State Fullerton,34,18,16,.529,-1.75,0.12,12,8,10,4,6,10,2822,2778,1360,962,2133,.451,315,918,.343,583,813,.717,327,1202,548,277,97,391,641
39,Cal State Northridge,34,20,14,.588,-1.96,-1.27,12,8,12,3,7,8,2767,2713,1365,1012,2228,.454,243,753,.323,500,750,.667,443,1407,574,234,98,447,616
40,California,32,21,11,.656,11.67,7.61,9,9,16,4,4,6,2492,2344,1290,829,1871,.443,287,796,.361,547,702,.779,293,1112,438,188,100,330,602
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
41,California Baptist&nbsp;NCAA,33,25,8,.758,2.52,-2.93,13,5,15,0,7,7,2410,2230,1335,845,1957,.432,212,629,.337,508,707,.719,458,1318,341,181,95,408,617
42,Campbell,34,16,18,.471,-2.85,-0.10,8,10,10,4,3,13,2691,2639,1360,914,2010,.455,244,740,.330,619,853,.726,425,1216,426,228,62,420,601
43,Canisius,31,10,21,.323,-16.98,-7.85,5,15,7,8,3,13,1951,2184,1245,676,1686,.401,222,670,.331,377,525,.718,320,1037,372,153,80,393,543
44,Central Arkansas,34,22,12,.647,-1.34,-4.66,15,3,14,1,6,10,2749,2541,1385,967,2115,.457,364,1040,.350,451,636,.709,368,1220,553,300,63,369,557
45,Central Connecticut State,30,18,12,.600,-11.33,-9.94,12,6,10,4,8,8,2215,2127,1205,803,1704,.471,219,595,.368,390,507,.769,272,1031,414,168,121,317,411
46,Central Michigan,31,10,21,.323,-8.48,-2.48,6,12,8,5,1,15,2275,2384,1240,837,1791,.467,201,607,.331,400,572,.699,311,1012,469,205,130,392,547
47,Charleston Southern,32,15,17,.469,-6.70,-6.66,6,10,10,4,5,11,2670,2563,1310,942,2060,.457,383,1060,.361,403,623,.647,380,1345,536,155,156,446,694
48,Charlotte,34,17,17,.500,-0.20,1.08,9,9,11,6,4,8,2492,2530,1385,853,1871,.456,296,848,.349,490,684,.716,376,1174,444,156,116,406,573
49,Chattanooga,32,13,19,.406,-10.89,-6.96,7,11,7,8,6,9,2454,2408,1280,859,1865,.461,338,944,.358,398,519,.767,250,1059,488,170,84,307,606
50,Chicago State,32,7,25,.219,-16.28,-4.93,5,13,5,6,2,19,2105,2434,1285,752,1857,.405,185,581,.318,416,561,.742,342,996,375,261,40,335,600
51,Cincinnati,33,18,15,.545,15.50,9.95,9,9,15,3,2,8,2413,2230,1325,859,1993,.431,296,872,.339,399,586,.681,367,1231,547,207,140,389,527
52,Clemson&nbsp;NCAA,34,24,10,.706,16.99,9.57,12,6,13,3,6,5,2521,2269,1370,864,1906,.453,279,818,.341,514,708,.726,316,1166,434,215,96,319,545
53,Cleveland State,33,11,22,.333,-13.07,-3.04,6,14,7,8,3,13,2633,2836,1320,873,1922,.454,357,953,.375,530,704,.753,324,1074,510,186,90,424,630
54,Coastal Carolina,32,19,13,.594,-7.52,-5.78,11,7,8,5,10,7,2346,2323,1310,804,1950,.412,286,844,.339,452,620,.729,339,1283,334,140,106,344,586
55,Colgate,33,18,15,.545,-5.99,-5.38,11,7,9,5,6,10,2522,2462,1350,928,1936,.479,243,677,.359,423,565,.749,292,1125,482,197,100,334,562
56,College of Charleston,32,21,11,.656,-1.17,-2.59,14,4,11,4,8,4,2413,2348,1290,825,1853,.445,208,701,.297,555,758,.732,340,1191,431,180,144,341,535
57,Colorado,32,17,15,.531,10.89,10.36,7,11,13,5,2,8,2559,2542,1290,901,1918,.470,238,674,.353,519,686,.757,319,1097,502,203,108,327,560
58,Colorado State,33,21,12,.636,8.56,5.03,11,9,12,5,6,5,2510,2347,1320,833,1704,.489,326,834,.391,518,672,.771,285,1062,525,176,69,391,554
59,Columbia,28,16,12,.571,-2.56,-3.95,5,9,9,5,7,7,2146,2007,1130,799,1681,.475,222,625,.355,326,474,.688,359,1099,443,164,84,365,460
60,Connecticut&nbsp;NCAA,34,29,5,.853,22.92,10.53,17,3,15,2,9,2,2635,2214,1370,962,1994,.482,283,804,.352,428,598,.716,395,1243,625,234,179,380,612
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
61,Coppin State,31,7,24,.226,-24.84,-8.11,5,9,3,6,4,15,2032,2493,1245,704,1722,.409,185,606,.305,439,651,.674,348,1009,362,198,107,477,572
62,Cornell,28,15,13,.536,-1.67,-2.83,8,6,7,4,8,8,2477,2335,1130,869,1754,.495,362,922,.393,377,508,.742,295,985,597,168,79,327,536
63,Creighton,32,15,17,.469,10.57,10.47,9,11,10,6,4,8,2404,2401,1285,847,1891,.448,315,912,.345,395,520,.760,303,1126,495,186,85,363,459
64,Dartmouth,27,11,16,.407,-8.24,-2.92,5,9,5,8,6,8,2047,2071,1085,676,1534,.441,272,753,.361,423,568,.745,238,953,375,135,99,329,433
65,Davidson,33,20,13,.606,4.27,2.76,10,8,11,7,7,4,2367,2225,1335,841,1845,.456,293,815,.360,392,600,.653,323,1098,453,218,143,342,556
66,Dayton,34,23,11,.676,8.85,4.37,12,6,14,3,6,5,2528,2376,1375,813,1822,.446,258,756,.341,644,858,.751,300,1118,487,284,137,407,567
67,Delaware,31,10,21,.323,-8.65,-2.45,6,14,5,10,4,10,2098,2293,1265,720,1617,.445,268,744,.360,390,495,.788,197,947,376,175,95,373,450
68,Delaware State,31,8,23,.258,-22.55,-10.81,2,12,5,7,2,14,1896,2185,1250,685,1721,.398,145,490,.296,381,553,.689,307,967,328,237,58,408,527
69,Denver,32,15,17,.469,-5.76,-2.04,8,8,9,5,6,11,2650,2650,1280,927,1931,.480,283,745,.380,513,664,.773,333,1087,371,147,64,315,571
70,DePaul,32,16,16,.500,7.45,6.76,8,12,11,7,4,7,2248,2226,1280,788,1812,.435,230,707,.325,442,639,.692,329,1064,480,221,110,385,573
71,Detroit Mercy,32,17,15,.531,-5.62,-3.19,12,8,9,5,7,9,2471,2475,1280,870,1957,.445,210,603,.348,521,672,.775,392,1203,418,191,102,362,621
72,Drake,34,14,20,.412,-0.93,1.44,6,14,6,11,4,7,2552,2544,1370,881,1991,.442,311,910,.342,479,666,.719,326,1202,458,186,105,348,571
73,Drexel,33,17,16,.515,-4.73,-4.48,10,8,12,4,4,9,2247,2221,1320,805,1839,.438,258,737,.350,379,573,.661,358,1162,438,201,122,414,551
74,Duke&nbsp;NCAA,34,32,2,.941,31.55,12.41,17,1,15,0,10,1,2798,2147,1360,973,1986,.490,309,881,.351,543,750,.724,424,1370,576,265,111,358,534
75,Duquesne,33,18,15,.545,3.38,2.34,9,9,12,6,5,7,2584,2481,1340,888,1936,.459,285,847,.336,523,732,.714,353,1158,499,257,101,414,639
76,East Carolina,31,11,20,.355,-5.73,0.43,6,12,7,10,4,8,2217,2401,1255,771,1841,.419,166,576,.288,509,723,.704,388,1133,365,199,122,379,498
77,East Tennessee State,34,23,11,.676,-0.64,-7.33,13,5,13,4,8,6,2638,2356,1370,948,1942,.488,252,736,.342,490,659,.744,317,1146,481,297,111,346,557
78,East Texas A&amp;M,32,11,21,.344,-11.01,-2.05,6,16,6,8,4,13,2246,2385,1280,793,1831,.433,274,849,.323,386,570,.677,300,1059,515,233,102,414,542
79,Eastern Illinois,33,13,20,.394,-13.46,-5.83,8,12,9,6,3,13,2214,2321,1335,791,1850,.428,180,557,.323,452,615,.735,330,1083,404,256,101,411,542
80,Eastern Kentucky,32,11,21,.344,-10.18,-4.58,7,11,8,7,3,13,2568,2619,1300,877,2007,.437,360,1018,.354,454,626,.725,407,1153,468,224,99,376,588
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
81,Eastern Michigan,31,10,21,.323,-5.71,-1.51,4,14,7,7,3,14,2191,2279,1250,808,1813,.446,186,578,.322,389,534,.728,309,1100,392,184,129,370,564
82,Eastern Washington,33,14,19,.424,-1.98,-0.48,11,7,8,4,5,13,2576,2606,1330,914,1918,.477,239,667,.358,509,685,.743,336,1065,448,195,112,404,598
83,Elon,32,14,18,.438,-5.48,-3.01,6,12,8,8,6,9,2500,2492,1300,872,1934,.451,286,834,.343,470,651,.722,383,1136,475,221,95,346,542
84,Evansville,32,7,25,.219,-8.81,3.69,3,17,5,10,1,12,2143,2447,1290,755,1764,.428,250,763,.328,383,524,.731,249,1003,420,168,107,412,509
85,Fairfield,34,21,13,.618,-8.06,-9.06,11,9,12,4,7,8,2528,2432,1365,924,2144,.431,258,769,.336,422,594,.710,473,1308,416,227,122,346,512
86,FDU,32,11,21,.344,-14.99,-7.43,8,10,8,6,3,15,2150,2245,1285,744,1803,.413,254,820,.310,408,578,.706,385,1130,386,161,49,377,553
87,Florida&nbsp;NCAA,33,26,7,.788,27.90,13.11,16,2,14,1,8,2,2864,2376,1320,1016,2125,.478,243,789,.308,589,830,.710,532,1499,549,221,167,394,586
88,Florida A&amp;M,31,15,16,.484,-14.02,-8.95,11,7,8,4,5,11,2183,2312,1245,758,1741,.435,213,654,.326,454,651,.697,331,1059,397,251,93,469,558
89,Florida Atlantic,33,18,15,.545,3.77,1.93,9,9,11,4,4,8,2596,2453,1335,932,2021,.461,259,780,.332,473,666,.710,394,1279,436,194,177,406,581
90,Florida Gulf Coast,34,16,18,.471,-6.41,-5.03,8,10,11,6,3,11,2631,2598,1375,962,2119,.454,270,833,.324,437,608,.719,406,1255,500,263,123,373,631
91,Florida International,32,15,17,.469,-1.82,-0.47,8,12,12,6,3,10,2580,2492,1295,907,1986,.457,233,664,.351,533,774,.689,420,1214,475,293,148,416,574
92,Florida State,33,18,15,.545,11.66,9.24,10,8,11,6,6,5,2652,2572,1320,901,2050,.440,343,1037,.331,507,711,.713,380,1166,473,261,129,361,603
93,Fordham,32,17,15,.531,0.25,-0.96,8,10,11,7,4,6,2235,2095,1285,839,1907,.440,215,732,.294,342,491,.697,398,1227,459,235,69,365,501
