Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
123,Indiana,32,18,14,.563,16.70,10.70,9,11,14,4,3,8,2501,2309,66.6,107.1,.370,.368,.536,50.0,49.0,8.2,10.1,.490,13.1,29.3,.280
124,Indiana State,32,11,21,.344,-2.70,0.70,4,16,8,7,3,12,2354,2383,68.9,106.0,.282,.347,.528,50.6,43.5,11.5,12.7,.502,13.2,30.3,.194
125,Iona,32,18,14,.563,-7.27,-7.99,10,10,11,3,6,8,2363,2340,68.4,104.8,.288,.407,.523,51.2,56.5,10.7,11.1,.489,14.2,31.2,.211
126,Iowa,33,21,12,.636,19.00,9.76,10,10,14,3,3,8,2482,2177,63.4,103.7,.391,.391,.565,49.2,51.0,8.0,8.3,.527,18.6,28.0,.286
127,Iowa State,34,27,7,.794,27.15,10.50,12,6,16,1,5,5,2781,2215,68.2,95.6,.279,.428,.525,46.5,54.5,9.8,9.6,.495,19.8,28.1,.199
128,IU Indy,32,7,25,.219,-12.45,-4.15,3,17,5,9,2,15,2673,2825,76.1,115.5,.464,.353,.613,54.1,52.7,10.0,7.8,.577,17.7,34.7,.343
129,Jackson State,33,12,21,.364,-19.48,-5.96,10,8,7,3,4,15,2318,2764,71.0,117.0,.419,.397,.572,54.2,60.9,11.1,12.4,.530,13.9,37.2,.313
130,Jacksonville,32,12,20,.375,-10.72,-5.05,7,11,8,4,3,14,2339,2349,66.0,110.3,.423,.353,.565,47.6,50.0,10.0,7.2,.529,13.7,28.0,.297
131,Jacksonville State,32,15,17,.469,-3.46,-2.80,10,10,10,7,5,8,2325,2188,66.7,101.8,.380,.427,.522,47.6,50.3,9.4,9.3,.476,14.7,27.2,.280
132,James Madison,33,18,15,.545,-4.96,-5.24,9,9,11,4,5,10,2460,2437,67.0,109.4,.397,.381,.532,48.5,45.1,9.4,10.8,.488,11.1,29.2,.287
133,Kansas,33,23,10,.697,21.10,14.86,12,6,14,2,5,6,2496,2290,68.2,100.9,.277,.420,.485,48.5,48.0,9.6,8.3,.452,11.8,30.1,.192
134,Kansas City,31,4,27,.129,-19.67,-1.92,1,15,3,11,1,15,2149,2600,71.9,116.2,.303,.386,.577,54.5,52.3,11.0,9.5,.553,14.1,35.0,.214
135,Kansas State,32,12,20,.375,8.58,10.86,3,15,10,8,1,10,2546,2619,73.8,110.9,.352,.386,.558,52.3,56.5,10.0,11.0,.525,14.7,33.9,.254
136,Kennesaw State,34,21,13,.618,0.13,-2.00,10,10,13,3,4,8,2834,2586,72.4,104.2,.454,.380,.526,46.7,48.3,10.6,11.9,.470,14.4,30.0,.338
137,Kent State,33,24,9,.727,-0.10,-2.45,14,4,14,3,7,5,2808,2628,72.8,107.4,.386,.432,.549,46.3,54.0,9.4,9.3,.511,14.4,28.7,.278
138,Kentucky,34,21,13,.618,19.80,12.86,10,8,14,4,4,6,2746,2510,69.8,105.8,.370,.395,.530,47.9,55.2,9.5,8.7,.488,13.7,30.1,.270
139,La Salle,32,9,23,.281,-4.10,4.00,5,13,7,6,1,13,2148,2370,66.5,111.3,.305,.423,.565,49.7,61.0,10.0,12.0,.541,14.9,31.7,.210
140,Lafayette,32,11,21,.344,-12.84,-6.58,8,10,6,10,5,11,2222,2381,67.2,110.3,.301,.386,.561,52.0,59.0,8.1,10.3,.530,13.9,28.5,.222
Overall,Conf.,Home,Away,Points,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
141,Lamar,31,12,19,.387,-5.73,-3.66,7,15,7,8,5,10,2167,2143,66.3,103.8,.426,.371,.536,47.1,57.4,11.3,8.3,.499,15.6,28.9,.293
142,Le Moyne,32,15,17,.469,-10.89,-9.31,10,8,9,4,5,12,2336,2341,69.4,105.4,.322,.394,.527,50.2,54.9,10.9,9.3,.490,13.5,28.9,.236
143,Lehigh,34,18,16,.529,-9.32,-7.04,11,7,13,4,4,11,2490,2515,67.1,106.8,.316,.322,.536,52.9,44.8,11.8,7.8,.498,14.1,31.1,.238
144,Liberty,32,25,7,.781,2.47,-1.57,17,3,14,2,10,2,2501,2253,65.0,107.6,.252,.371,.546,53.4,46.2,8.1,10.3,.522,14.8,30.2,.180
145,Lindenwood,33,18,15,.545,-9.11,-8.44,11,9,9,5,7,9,2566,2398,73.7,98.6,.355,.329,.508,48.4,47.7,11.3,8.9,.474,16.5,31.1,.239
146,Lipscomb,32,19,13,.594,-4.18,-4.78,12,6,13,1,6,11,2549,2423,70.9,106.4,.280,.400,.548,51.0,45.8,9.2,9.7,.522,15.7,29.7,.199
147,Little Rock,32,12,20,.375,-12.97,-7.71,9,11,7,6,5,13,2257,2372,68.5,108.2,.323,.401,.545,51.9,52.7,11.0,5.7,.516,16.1,35.9,.225
148,Long Beach State,32,10,22,.313,-5.51,0.26,6,14,7,9,3,13,2396,2489,71.3,107.8,.413,.348,.573,50.7,52.3,9.2,6.8,.530,16.1,26.7,.310
149,Long Island University,34,24,10,.706,-4.96,-7.93,15,3,14,1,10,9,2519,2418,68.1,104.0,.341,.332,.530,48.7,49.2,10.5,8.1,.498,16.2,32.6,.235
150,Longwood,32,16,16,.500,-8.22,-7.88,8,8,11,4,4,10,2486,2370,70.2,103.0,.394,.430,.554,46.1,49.8,10.9,8.9,.521,18.1,27.5,.273
151,Louisiana,33,11,22,.333,-12.03,-5.03,7,11,7,8,3,13,2101,2332,64.1,110.2,.458,.362,.569,53.3,49.7,7.8,8.0,.526,15.9,32.3,.333
152,Louisiana State,32,15,17,.469,12.69,9.75,3,15,9,8,3,7,2606,2512,68.6,111.3,.378,.379,.543,48.4,46.3,9.5,8.3,.509,12.0,31.7,.264
153,Louisiana Tech,34,20,14,.588,-2.92,-2.98,11,9,14,3,4,10,2375,2210,65.1,98.7,.348,.468,.507,46.2,55.6,10.1,9.7,.469,16.0,30.0,.243
154,Louisiana-Monroe,32,4,28,.125,-18.52,-4.86,1,17,3,11,1,15,2318,2685,71.1,117.1,.270,.411,.579,55.2,56.5,10.4,11.8,.558,13.5,34.8,.190
155,Louisville,33,23,10,.697,23.41,10.83,11,7,15,2,4,7,2797,2382,71.0,101.7,.334,.391,.523,46.3,48.3,9.2,12.4,.488,14.7,26.9,.238
156,Loyola (IL),33,9,24,.273,-6.13,2.84,4,14,6,10,1,9,2204,2500,65.9,114.6,.336,.443,.560,49.6,61.3,10.9,13.9,.520,11.2,29.7,.258
157,Loyola (MD),32,12,20,.375,-13.33,-8.49,8,10,8,6,3,13,2407,2466,68.5,110.7,.325,.389,.565,50.1,55.4,8.8,8.1,.534,13.5,28.0,.236
158,Loyola Marymount,32,15,17,.469,1.08,1.50,6,12,10,8,4,7,2376,2306,68.6,103.8,.322,.369,.525,51.2,51.0,8.8,7.1,.484,14.6,31.1,.241
159,Maine,32,8,24,.250,-16.91,-9.59,6,10,4,8,4,14,2001,2190,65.4,104.6,.335,.369,.535,56.8,52.5,9.6,8.7,.505,16.9,34.0,.230
160,Manhattan,32,12,20,.375,-15.10,-7.90,8,12,7,7,3,12,2369,2526,68.3,114.2,.255,.382,.560,53.6,61.1,8.2,10.4,.535,14.1,36.3,.186
Overall,Conf.,Home,Away,Points,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
161,Marist,31,19,12,.613,-3.63,-8.60,12,8,11,4,7,7,2160,1979,66.5,95.6,.367,.369,.496,48.8,46.1,9.8,8.2,.455,16.6,28.0,.256
162,Marquette,32,12,20,.375,9.22,9.84,7,13,10,7,2,10,2405,2425,70.1,106.9,.320,.395,.545,53.0,60.2,9.7,10.0,.506,16.4,34.7,.244
163,Marshall,32,19,13,.594,-2.83,-4.41,11,7,13,4,6,8,2596,2497,70.7,110.3,.407,.399,.542,49.7,46.0,10.0,7.8,.499,14.0,33.3,.295
164,Maryland,33,12,21,.364,4.80,11.68,4,16,7,8,2,10,2300,2527,66.7,114.4,.358,.431,.576,48.5,61.2,9.5,11.6,.544,13.1,29.1,.260
165,Maryland-Baltimore County,32,24,8,.750,-4.40,-11.86,14,2,15,2,9,6,2439,2144,66.9,99.3,.245,.368,.505,48.2,41.3,8.0,6.7,.481,13.4,25.2,.166
166,Maryland-Eastern Shore,32,9,23,.281,-17.48,-8.35,5,9,6,4,2,18,2060,2265,64.9,107.0,.416,.396,.548,49.7,55.2,13.6,8.3,.502,15.7,32.9,.308
167,Massachusetts,33,17,16,.515,-2.14,-3.23,7,11,11,5,2,8,2648,2562,71.1,106.7,.438,.428,.564,46.1,58.5,10.2,7.6,.522,15.2,25.3,.318
168,Massachusetts-Lowell,33,15,18,.455,-14.12,-8.42,9,7,10,4,5,14,2471,2518,69.4,109.9,.268,.362,.550,46.8,47.4,11.4,9.8,.524,12.6,28.3,.192
169,McNeese,33,28,5,.848,7.74,-2.06,19,3,14,0,9,5,2641,2193,67.3,97.7,.403,.477,.529,48.9,56.4,6.6,6.3,.484,21.2,34.1,.292
170,Memphis,32,13,19,.406,3.95,5.42,8,10,10,6,3,10,2407,2454,71.4,106.6,.424,.432,.535,50.2,54.7,11.3,10.4,.487,15.7,35.6,.310
171,Mercer,32,19,13,.594,-2.87,-5.21,11,7,14,1,5,11,2646,2416,70.9,106.5,.283,.416,.536,49.2,46.3,8.7,8.5,.502,15.3,32.5,.212
172,Mercyhurst,34,17,17,.500,-9.86,-9.46,10,8,12,3,5,14,2358,2291,65.0,102.2,.415,.341,.533,51.4,51.6,7.7,6.2,.495,16.7,29.0,.287
173,Merrimack,34,23,11,.676,-4.27,-6.33,17,3,11,0,9,8,2330,2260,63.7,103.2,.371,.326,.513,57.1,56.9,7.2,13.0,.467,16.8,39.9,.273
174,Miami (FL),33,25,8,.758,18.04,7.28,13,5,15,3,8,2,2704,2349,69.3,102.7,.290,.409,.544,44.4,54.3,9.7,10.2,.517,16.3,26.3,.202
175,Miami (OH),32,31,1,.969,5.37,-5.49,18,0,16,0,14,0,2902,2409,72.1,102.8,.291,.375,.531,48.6,46.8,8.5,7.3,.497,15.4,27.7,.215
176,Michigan,34,31,3,.912,32.48,14.86,19,1,14,1,11,0,2952,2353,71.3,96.7,.263,.418,.485,43.8,46.7,9.0,9.4,.447,13.5,27.7,.197
177,Michigan State,32,25,7,.781,23.44,12.91,15,5,15,2,6,4,2526,2189,66.8,101.7,.309,.460,.525,41.5,56.4,9.7,8.1,.486,13.2,22.6,.232
178,Middle Tennessee,32,17,15,.531,0.23,1.36,11,9,11,4,5,8,2414,2329,67.3,105.7,.346,.350,.538,48.5,47.0,9.3,8.0,.499,14.1,28.2,.256
179,Milwaukee,32,12,20,.375,-7.52,-2.26,8,12,8,6,3,14,2440,2548,69.5,114.6,.364,.406,.586,48.7,56.2,8.2,9.3,.554,14.1,28.5,.266
180,Minnesota,32,15,17,.469,10.45,8.95,8,12,13,4,2,9,2241,2193,63.0,107.5,.273,.417,.547,51.1,61.4,8.8,12.0,.519,14.8,29.8,.198
Overall,Conf.,Home,Away,Points,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
181,Mississippi,35,15,20,.429,11.13,11.36,4,14,7,9,3,7,2656,2664,68.3,109.5,.412,.426,.546,52.0,57.4,8.6,7.9,.505,14.1,32.6,.296
182,Mississippi State,32,13,19,.406,7.27,11.46,5,13,8,8,4,6,2484,2618,71.5,113.2,.323,.395,.547,50.2,52.1,9.5,11.0,.509,11.0,30.7,.243
183,Mississippi Valley State,33,3,30,.091,-28.36,-7.89,2,16,2,9,1,18,2120,2739,70.0,117.8,.501,.423,.597,54.7,59.4,12.3,8.9,.551,15.0,35.0,.377
184,Missouri,32,20,12,.625,13.08,8.77,10,8,15,3,5,7,2549,2411,68.4,109.4,.351,.431,.553,47.4,51.8,9.5,9.8,.514,14.3,31.4,.262
185,Missouri State,34,16,18,.471,-2.67,-1.41,8,12,11,7,3,10,2551,2502,66.9,108.4,.384,.352,.549,49.4,49.4,9.7,13.0,.513,14.6,31.2,.273
186,Monmouth,34,19,15,.559,-2.11,-3.14,11,7,10,4,6,9,2471,2409,67.5,103.8,.318,.385,.534,50.3,50.6,9.2,8.6,.499,17.1,32.1,.231
187,Montana,34,18,16,.529,-2.33,-0.47,10,8,11,6,5,9,2627,2535,71.2,104.8,.317,.385,.524,49.6,48.1,10.9,8.5,.491,12.7,27.3,.224
188,Montana State,32,18,14,.563,1.09,-1.05,12,6,11,2,6,11,2493,2285,67.6,104.9,.277,.340,.541,49.7,43.1,7.8,7.3,.506,14.5,27.2,.211
189,Morehead State,33,20,13,.606,-11.13,-7.56,15,5,11,2,7,10,2484,2466,67.4,110.0,.338,.390,.537,48.4,55.5,10.1,8.6,.503,13.6,34.2,.240
190,Morgan State,30,14,16,.467,-19.26,-10.93,10,4,9,6,5,9,2258,2347,71.3,109.3,.500,.320,.551,51.3,55.9,9.2,9.5,.510,14.6,33.3,.344
191,Mount St. Mary's,32,15,17,.469,-10.35,-7.22,11,9,8,5,7,11,2178,2244,67.7,103.2,.365,.450,.518,47.4,53.7,12.6,8.4,.470,13.9,29.3,.276
192,Murray State,32,20,12,.625,3.90,0.49,12,8,12,3,5,6,2667,2558,72.3,110.6,.329,.273,.554,49.0,43.7,9.4,8.2,.523,13.8,31.3,.235
193,Navy,33,26,7,.788,-0.87,-9.90,17,1,15,2,10,4,2465,2105,65.2,96.7,.254,.462,.507,45.5,52.4,9.3,7.4,.474,16.4,26.1,.189
194,NC State,33,20,13,.606,18.02,10.83,10,8,11,6,6,4,2762,2525,69.5,108.8,.365,.453,.561,50.7,49.4,7.3,9.3,.530,15.8,30.3,.255
195,Nebraska,32,26,6,.813,21.54,10.48,15,5,16,2,7,3,2473,2119,67.3,97.7,.248,.493,.508,49.8,60.5,7.5,9.3,.478,16.6,27.7,.180
196,Nevada,34,22,12,.647,10.17,5.81,12,8,15,2,4,8,2582,2434,66.8,105.6,.403,.424,.549,47.9,55.5,8.7,9.5,.510,15.3,27.2,.286
197,Nevada-Las Vegas,33,17,16,.515,5.63,6.10,11,9,10,6,6,6,2620,2593,70.7,110.0,.451,.368,.564,49.8,56.4,8.9,7.9,.521,15.5,31.3,.328
198,New Hampshire,30,9,21,.300,-16.98,-7.26,5,11,8,5,1,16,2076,2238,67.7,107.5,.357,.365,.559,51.1,48.0,8.7,11.0,.522,14.4,25.9,.263
199,New Haven,31,14,17,.452,-13.65,-7.69,9,9,9,6,5,11,2013,2055,64.2,103.2,.275,.379,.542,51.3,48.0,8.9,7.2,.509,15.7,26.0,.208
200,New Mexico,33,23,10,.697,13.52,5.05,13,7,14,3,7,5,2658,2337,70.6,100.4,.350,.478,.532,48.3,54.4,8.7,8.6,.492,17.0,27.2,.256
Overall,Conf.,Home,Away,Points,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
201,New Mexico State,32,16,16,.500,-1.29,-1.35,8,12,10,5,3,8,2403,2303,68.1,104.5,.436,.419,.524,48.5,47.8,8.8,8.9,.476,13.9,29.9,.314
202,New Orleans,33,15,18,.455,-3.96,-0.81,12,10,5,6,9,11,2459,2563,69.7,110.7,.395,.402,.532,48.4,60.3,11.1,9.7,.490,12.5,34.5,.284
203,Niagara,30,8,22,.267,-16.27,-7.85,5,15,6,7,2,14,1916,2137,63.1,112.4,.332,.404,.567,53.5,52.4,10.5,9.3,.527,14.5,32.5,.258
204,Nicholls State,33,14,19,.424,-6.77,-2.05,12,10,6,6,7,12,2388,2471,68.7,109.0,.369,.385,.581,53.5,56.1,9.1,9.9,.539,18.3,33.2,.288
205,NJIT,33,16,17,.485,-15.76,-8.26,10,6,8,6,8,11,2212,2417,68.3,107.2,.373,.406,.534,52.4,52.5,9.4,9.0,.499,14.3,31.7,.259
206,Norfolk State,32,15,17,.469,-13.57,-10.53,8,6,9,4,5,10,2445,2362,70.1,105.2,.436,.425,.553,48.6,57.9,10.0,9.5,.511,17.0,30.4,.314
207,North Alabama,30,9,21,.300,-15.65,-5.51,4,14,5,8,4,12,2082,2328,65.9,116.7,.299,.433,.583,50.5,55.7,10.9,9.5,.552,13.0,31.3,.228
208,North Carolina,32,24,8,.750,19.39,10.92,12,6,18,0,4,6,2553,2282,68.8,103.7,.238,.369,.508,47.4,48.1,8.4,9.0,.482,11.8,28.1,.167
209,North Carolina A&T,30,11,19,.367,-9.56,-4.96,4,14,6,6,4,11,2252,2335,69.6,111.4,.370,.380,.554,47.2,57.4,9.7,7.9,.523,12.4,28.1,.256
210,North Carolina Central,32,14,18,.438,-18.15,-8.50,8,6,8,5,4,12,2299,2415,68.2,110.2,.377,.406,.565,53.9,57.4,9.1,11.3,.531,18.2,38.4,.269
211,North Dakota,35,18,17,.514,-8.93,-3.52,10,6,9,7,7,8,2680,2705,69.6,110.2,.431,.428,.587,52.2,59.0,7.4,8.5,.556,17.9,30.8,.303
212,North Dakota State,34,27,7,.794,2.50,-5.79,14,2,13,1,10,5,2745,2366,68.5,100.1,.279,.441,.543,46.5,54.2,9.3,8.5,.511,17.6,25.2,.207
213,North Florida,32,7,25,.219,-15.41,-2.98,5,13,5,8,2,14,2547,2821,72.5,121.1,.306,.391,.580,54.8,51.6,10.8,11.9,.557,11.7,37.1,.215
214,North Texas,33,19,14,.576,2.08,1.14,9,9,12,5,5,7,2341,2225,66.5,99.1,.443,.386,.527,50.0,49.3,9.3,10.9,.481,19.1,32.3,.315
215,Northeastern,31,7,24,.226,-8.88,-2.82,2,16,2,10,3,13,2322,2510,69.6,115.8,.419,.352,.600,52.5,50.2,9.3,9.5,.564,14.8,30.2,.309
216,Northern Arizona,32,10,22,.313,-10.73,-1.22,4,14,9,7,1,13,2282,2445,66.6,114.8,.315,.396,.585,54.2,49.6,8.5,8.3,.558,15.1,32.2,.229
217,Northern Colorado,32,20,12,.625,0.30,-2.46,10,8,11,3,8,7,2640,2449,70.0,107.6,.366,.350,.543,46.6,37.0,8.5,7.0,.498,11.7,23.7,.278
218,Northern Illinois,30,9,21,.300,-14.77,-2.24,4,14,6,7,3,14,2086,2334,69.7,111.6,.367,.387,.581,49.4,53.6,11.6,13.9,.549,14.8,28.9,.267
219,Northern Iowa,35,23,12,.657,8.49,1.49,11,9,12,5,6,6,2447,2144,63.7,95.5,.287,.417,.501,50.8,49.3,9.0,7.9,.466,16.3,26.1,.206
220,Northern Kentucky,34,20,14,.588,-2.45,-4.67,10,10,12,5,7,8,2827,2634,71.8,107.1,.351,.388,.559,49.6,51.8,8.9,7.2,.527,16.6,31.3,.250
Overall,Conf.,Home,Away,Points,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
221,Northwestern,34,15,19,.441,12.61,11.43,5,15,9,7,3,8,2487,2447,65.3,109.8,.348,.402,.548,53.2,63.8,7.3,6.4,.510,14.9,34.7,.258
222,Northwestern State,32,10,22,.313,-9.31,-2.47,8,14,8,6,2,15,2185,2317,65.7,109.8,.356,.378,.556,52.2,52.0,10.4,9.4,.526,14.8,32.0,.248
223,Notre Dame,31,13,18,.419,9.05,9.93,4,14,10,7,2,9,2308,2335,66.7,111.2,.362,.474,.558,47.9,55.4,9.1,8.8,.518,12.3,26.7,.272
224,Oakland,32,16,16,.500,-1.35,-0.12,12,8,7,6,8,9,2642,2614,71.4,114.5,.243,.416,.565,51.0,65.7,7.7,11.4,.542,13.4,34.1,.176
225,Ohio,32,15,17,.469,-4.65,-1.35,9,9,10,6,4,8,2492,2515,70.4,110.7,.374,.344,.560,51.8,48.6,8.5,7.2,.524,14.4,32.1,.272
226,Ohio State,33,21,12,.636,19.06,12.06,12,8,14,3,5,6,2633,2402,66.5,108.2,.351,.403,.543,48.4,53.4,8.1,8.8,.503,13.7,30.0,.261
227,Oklahoma,34,19,15,.559,15.02,9.37,7,11,11,5,4,7,2813,2621,68.4,111.9,.340,.397,.550,49.3,50.7,8.2,10.0,.512,13.1,33.0,.254
228,Oklahoma State,33,19,14,.576,11.93,10.57,6,12,14,5,2,7,2781,2736,74.0,110.7,.325,.427,.558,49.4,57.1,9.1,10.3,.529,13.9,30.7,.231
229,Old Dominion,33,12,21,.364,-7.19,-4.19,7,11,7,6,4,14,2514,2570,70.4,109.8,.416,.363,.547,51.6,51.4,9.1,10.9,.502,12.7,29.9,.308
230,Omaha,33,16,17,.485,-7.25,-3.49,8,8,10,4,5,10,2507,2522,68.7,110.8,.315,.468,.554,49.7,53.5,9.1,9.7,.522,12.6,27.9,.230
231,Oral Roberts,33,10,23,.303,-10.11,-2.21,4,12,7,8,1,13,2420,2558,69.8,110.2,.385,.369,.552,50.4,45.9,10.9,10.0,.519,13.5,30.7,.268
232,Oregon,32,12,20,.375,8.95,12.04,5,15,10,7,2,8,2267,2366,66.5,110.8,.320,.421,.551,50.1,52.9,10.3,9.5,.509,13.5,32.3,.252
233,Oregon State,33,17,16,.515,0.78,3.81,9,9,12,5,4,7,2347,2447,66.2,110.3,.351,.415,.543,51.8,55.7,10.7,9.3,.503,13.1,32.1,.260
234,Pacific,33,18,15,.545,4.34,2.83,8,10,11,3,4,11,2399,2271,65.9,104.0,.361,.425,.531,43.8,49.8,9.8,10.1,.495,13.7,24.7,.254
235,Penn State,32,12,20,.375,3.98,9.64,3,17,9,8,2,9,2358,2539,67.5,117.6,.275,.434,.610,53.3,60.4,8.6,9.8,.584,15.5,31.1,.211
236,Pennsylvania,29,18,11,.621,-0.50,-1.72,9,5,12,2,4,8,2207,2126,69.4,104.8,.276,.395,.536,49.8,54.0,8.8,9.6,.514,15.5,30.1,.185
237,Pepperdine,32,9,23,.281,-5.86,3.44,4,14,7,10,2,11,2312,2546,69.5,113.6,.283,.407,.568,51.4,55.6,10.9,10.2,.542,14.1,33.5,.205
238,Pittsburgh,33,13,20,.394,8.58,9.88,5,13,8,10,3,8,2327,2370,64.5,110.4,.309,.410,.569,48.1,51.8,9.5,9.2,.534,14.3,28.1,.238
239,Portland,34,15,19,.441,-2.08,3.95,6,12,12,6,1,12,2530,2669,70.5,110.6,.321,.464,.561,50.2,66.8,10.5,6.2,.527,14.7,31.4,.240
240,Portland State,31,20,11,.645,0.06,-2.66,13,5,11,3,8,7,2376,2179,69.6,100.2,.421,.400,.531,47.0,52.7,9.1,6.9,.482,16.2,25.7,.312
Overall,Conf.,Home,Away,Points,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
241,Prairie View A&M,35,18,17,.514,-12.74,-9.93,9,9,10,3,3,13,2761,2662,73.8,102.6,.416,.346,.538,52.6,48.1,8.8,7.8,.495,17.8,33.3,.300
242,Presbyterian,33,15,18,.455,-8.31,-5.21,7,9,10,4,3,13,2388,2382,66.7,106.9,.372,.360,.540,47.1,48.6,10.3,8.1,.506,13.9,29.3,.257
243,Princeton,29,9,20,.310,-6.92,-1.95,5,9,8,4,1,12,1989,2087,64.7,110.3,.334,.417,.550,50.2,50.1,10.1,10.2,.516,12.5,28.1,.242
