Rank,School,Conf,AP_Rank,W,L,Pts,Opp_Pts,MOV,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
243,Georgia Southern,Sun Belt,,21,16,80.9,79.7,1.22,-6.02,2.49,-8.97,-6.48,106.45,116.19,-9.75
244,UTEP,CUSA,,11,20,69.3,72.4,-3.06,-0.41,-8.03,1.37,-6.66,100.39,111.22,-10.83
245,Charleston Southern,Big South,,15,17,83.4,80.1,3.34,-6.66,2.12,-8.82,-6.70,101.48,111.42,-9.93
246,Nicholls State,Southland,,14,19,72.4,74.9,-2.52,-2.05,-3.18,-3.59,-6.77,103.20,113.26,-10.06
247,Vermont,AmEast,,22,12,73.4,68.5,4.88,-10.20,-5.60,-1.23,-6.82,103.67,113.98,-10.31
248,Southeast Missouri State,OVC,,20,13,74.5,70.6,3.91,-7.82,-4.30,-2.56,-6.85,101.10,111.14,-10.05
249,American,Patriot,,16,16,74.6,71.3,3.25,-6.21,-4.99,-1.93,-6.91,103.41,113.71,-10.30
250,Princeton,Ivy,,9,20,68.6,72.0,-3.38,-1.95,-8.19,1.28,-6.92,101.47,112.10,-10.63
251,Incarnate Word,Southland,,12,19,74.3,73.7,0.55,-2.51,-3.64,-3.44,-7.09,106.12,117.64,-11.52
252,Radford,Big South,,16,16,81.4,78.8,2.53,-6.19,1.24,-8.37,-7.12,102.94,113.26,-10.32
253,Abilene Christian,WAC,,14,19,70.3,72.4,-2.06,-1.25,-7.39,0.21,-7.18,97.96,108.31,-10.35
254,Old Dominion,Sun Belt,,12,21,76.2,77.9,-1.70,-4.19,-1.89,-5.30,-7.19,102.95,113.16,-10.22
255,Omaha,Summit,,16,17,76.0,76.4,-0.45,-3.49,-3.81,-3.44,-7.25,103.10,113.70,-10.59
256,Texas State,Sun Belt,,19,13,73.9,71.0,2.94,-6.69,-6.13,-1.13,-7.26,100.30,111.28,-10.98
257,Iona,MAAC,,18,14,73.8,73.1,0.72,-7.99,-2.38,-4.89,-7.27,99.98,111.29,-11.32
258,Purdue Fort Wayne,Horizon,,17,15,78.1,77.1,1.00,-2.72,-3.52,-3.75,-7.27,103.17,114.31,-11.14
259,Wofford,Southern,,19,13,78.8,77.1,1.63,-7.18,-1.09,-6.30,-7.38,105.86,117.07,-11.22
260,Saint Peter's,MAAC,,17,12,70.8,68.4,2.41,-7.59,-7.36,-0.09,-7.45,100.36,112.07,-11.71
Rk,School,Conf,AP Rank,W,L,Pts,Opp,"Margin of VictoryA team's average margin of victory over a period or season"" >MOV","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SOS",OSRS,DSRS,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SRS","Offensive RatingAn estimate of points scored (for teams) or points produced (for players) per 100 possessions."" data-over-header=""Adjusted"" data-filter=""1"" data-name=""Offensive Rating"" >ORtg",DRtg,NRtg
261,Coastal Carolina,Sun Belt,,19,13,73.3,72.6,0.72,-5.78,-6.00,-1.52,-7.52,98.60,109.93,-11.34
262,Milwaukee,Horizon,,12,20,76.3,79.6,-3.38,-2.26,-3.00,-4.52,-7.52,104.05,115.03,-10.98
263,UC Riverside,Big West,,10,22,72.9,77.9,-4.94,-0.30,-4.41,-3.35,-7.76,101.38,112.63,-11.25
264,Sacramento State,Big Sky,,10,21,77.7,82.0,-4.32,-0.08,1.10,-8.89,-7.79,103.43,114.39,-10.96
265,Fairfield,MAAC,,21,13,74.4,71.5,2.82,-9.06,-4.18,-3.88,-8.06,101.85,114.59,-12.74
266,Boston University,Patriot,,17,17,75.5,73.9,1.53,-8.23,-3.17,-4.91,-8.08,108.56,120.84,-12.28
267,Longwood,Big South,,16,16,77.7,74.1,3.63,-7.88,-2.33,-5.89,-8.22,100.77,113.69,-12.93
268,Dartmouth,Ivy,,11,16,75.8,76.7,-0.89,-2.92,-2.01,-6.23,-8.24,102.12,114.47,-12.34
269,Presbyterian,Big South,,15,18,72.4,72.2,0.18,-5.21,-8.70,0.39,-8.31,100.12,112.55,-12.43
270,Western Michigan,MAC,,10,21,74.8,79.5,-4.71,-2.15,-2.16,-6.16,-8.32,103.98,116.81,-12.83
271,SIU Edwardsville,OVC,,19,13,71.0,64.7,6.28,-10.25,-11.29,2.83,-8.46,95.60,108.10,-12.51
272,Central Michigan,MAC,,10,21,73.4,76.9,-3.52,-2.48,-4.63,-3.85,-8.48,103.17,116.59,-13.42
273,South Dakota,Summit,,16,16,79.6,80.2,-0.59,-4.88,0.12,-8.72,-8.60,103.16,115.93,-12.77
274,Delaware,CUSA,,10,21,67.7,74.0,-6.29,-2.45,-7.69,-0.96,-8.65,102.76,116.69,-13.93
275,Hampton,CAA,,13,19,69.9,70.8,-0.84,-4.55,-7.69,-0.95,-8.65,98.25,111.70,-13.45
276,Evansville,MVC,,7,25,67.0,76.5,-9.50,3.69,-6.17,-2.65,-8.81,100.09,114.03,-13.94
277,Northeastern,CAA,,7,24,74.9,81.0,-6.06,-2.82,-0.03,-8.85,-8.88,104.84,118.40,-13.57
278,North Dakota,Summit,,18,17,76.6,77.3,-0.71,-3.52,-3.50,-5.43,-8.93,103.36,116.38,-13.02
279,Bellarmine,A-Sun,,13,19,80.0,81.7,-1.66,-4.64,0.21,-9.22,-9.00,114.16,127.87,-13.71
280,Lindenwood,OVC,,18,15,77.8,72.7,5.09,-8.44,-2.97,-6.14,-9.11,96.20,109.98,-13.78
Rk,School,Conf,AP Rank,W,L,Pts,Opp,"Margin of VictoryA team's average margin of victory over a period or season"" >MOV","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SOS",OSRS,DSRS,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SRS","Offensive RatingAn estimate of points scored (for teams) or points produced (for players) per 100 possessions."" data-over-header=""Adjusted"" data-filter=""1"" data-name=""Offensive Rating"" >ORtg",DRtg,NRtg
281,Southern Utah,WAC,,10,22,76.3,79.5,-3.19,-0.22,-0.91,-8.28,-9.19,102.58,115.28,-12.69
282,Northwestern State,Southland,,10,22,68.3,72.4,-4.13,-2.47,-8.39,-0.92,-9.31,100.17,114.74,-14.58
283,Southeastern Louisiana,Southland,,9,22,65.0,70.5,-5.42,-2.84,-9.73,0.42,-9.31,97.43,112.07,-14.64
284,Lehigh,Patriot,,18,16,73.2,74.0,-0.74,-7.04,-4.64,-4.68,-9.32,99.61,113.70,-14.09
285,Bethune-Cookman,SWAC,,17,15,75.4,76.9,-1.56,-6.45,-3.72,-5.66,-9.38,99.47,112.71,-13.24
286,North Carolina A&T,CAA,,11,19,75.1,77.8,-2.77,-4.96,-2.99,-6.57,-9.56,101.82,116.42,-14.60
287,Ball State,MAC,,12,19,67.5,69.5,-1.97,-4.27,-11.97,2.39,-9.58,95.51,110.54,-15.03
288,Houston Christian,Southland,,12,20,67.1,72.2,-5.06,-3.63,-9.06,-0.70,-9.76,100.17,115.46,-15.30
289,Mercyhurst,NEC,,17,17,69.4,67.4,1.97,-9.46,-9.25,-0.62,-9.86,96.91,112.71,-15.80
290,Brown,Ivy,,9,18,70.4,70.1,0.30,-4.66,-9.29,-0.61,-9.90,94.19,109.07,-14.87
291,Oral Roberts,Summit,,10,23,73.3,77.5,-4.18,-2.21,-5.43,-4.68,-10.11,99.67,114.61,-14.94
292,Eastern Kentucky,A-Sun,,11,21,80.3,81.8,-1.59,-4.58,-1.09,-9.09,-10.18,106.35,121.13,-14.78
293,South Carolina Upstate,Big South,,13,19,74.3,73.7,0.59,-5.55,-6.98,-3.26,-10.24,96.25,111.67,-15.42
294,Mount St. Mary's,MAAC,,15,17,68.1,70.1,-2.06,-7.22,-8.30,-2.05,-10.35,95.52,111.08,-15.57
295,Jacksonville,A-Sun,,12,20,73.1,73.4,-0.31,-5.05,-9.68,-1.04,-10.72,100.03,115.96,-15.93
296,Northern Arizona,Big Sky,,10,22,71.3,76.4,-5.09,-1.22,-8.57,-2.16,-10.73,102.12,119.01,-16.89
297,Chattanooga,Southern,,13,19,76.7,75.3,1.44,-6.96,-4.87,-6.03,-10.89,102.56,118.97,-16.40
298,Le Moyne,NEC,,15,17,73.0,73.2,-0.16,-9.31,-4.95,-5.94,-10.89,99.27,115.45,-16.18
299,West Georgia,A-Sun,,15,17,76.6,79.6,-3.03,-5.78,-4.37,-6.58,-10.95,98.39,114.62,-16.23
300,Southern,SWAC,,17,17,79.6,77.9,1.68,-6.95,-2.03,-8.95,-10.98,101.30,116.91,-15.61
Rk,School,Conf,AP Rank,W,L,Pts,Opp,"Margin of VictoryA team's average margin of victory over a period or season"" >MOV","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SOS",OSRS,DSRS,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SRS","Offensive RatingAn estimate of points scored (for teams) or points produced (for players) per 100 possessions."" data-over-header=""Adjusted"" data-filter=""1"" data-name=""Offensive Rating"" >ORtg",DRtg,NRtg
301,East Texas A&M,Southland,,11,21,70.2,74.5,-4.34,-2.05,-7.14,-3.87,-11.01,97.55,113.45,-15.90
302,Morehead State,OVC,,20,13,75.3,74.7,0.55,-7.56,-5.77,-5.35,-11.13,102.33,118.48,-16.15
303,Sacred Heart,MAAC,,14,19,75.2,76.6,-1.39,-8.05,-2.24,-9.03,-11.27,102.79,120.30,-17.51
304,UNC Greensboro,Southern,,15,19,78.6,80.5,-1.85,-6.02,-2.13,-9.17,-11.31,103.88,120.46,-16.58
305,Central Connecticut State,NEC,,18,12,73.8,70.9,2.93,-9.94,-7.42,-3.91,-11.33,101.22,118.69,-17.46
306,Georgia State,Sun Belt,,10,22,70.4,74.7,-4.31,-4.59,-8.27,-3.32,-11.59,95.89,112.74,-16.85
307,Wagner,NEC,,14,17,71.3,71.7,-0.39,-8.69,-6.97,-4.83,-11.79,98.79,116.76,-17.98
308,Louisiana,Sun Belt,,11,22,63.7,70.7,-7.00,-5.03,-13.10,1.07,-12.03,95.81,113.93,-18.12
309,Grambling,SWAC,,14,19,70.3,70.1,0.21,-9.99,-10.69,-1.52,-12.21,93.96,111.26,-17.30
310,IU Indy,Horizon,,7,25,83.5,88.3,-4.75,-4.15,2.87,-15.32,-12.45,103.15,120.44,-17.28
311,Cal State Bakersfield,Big West,,8,24,73.1,82.2,-9.06,-1.26,-3.90,-8.79,-12.69,99.23,116.35,-17.13
312,Stetson,A-Sun,,12,21,73.7,79.7,-6.06,-4.70,-6.08,-6.62,-12.70,101.24,120.15,-18.91
Rk,School,Conf,AP Rank,W,L,Pts,Opp,"Margin of VictoryA team's average margin of victory over a period or season"" >MOV","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SOS",OSRS,DSRS,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SRS","Offensive RatingAn estimate of points scored (for teams) or points produced (for players) per 100 possessions."" data-over-header=""Adjusted"" data-filter=""1"" data-name=""Offensive Rating"" >ORtg",DRtg,NRtg
321,Norfolk State,MEAC,,15,17,76.4,73.8,2.59,-10.53,-6.69,-6.87,-13.57,97.30,117.32,-20.03
322,New Haven,NEC,,14,17,64.9,66.3,-1.35,-7.69,-14.99,1.34,-13.65,92.38,114.14,-21.76
323,Air Force,MWC,,3,29,61.5,79.9,-18.34,4.68,-11.18,-2.48,-13.66,94.57,115.71,-21.14
324,Holy Cross,Patriot,,11,22,68.2,73.3,-5.06,-6.80,-10.01,-3.66,-13.67,97.24,118.13,-20.89
325,Albany (NY),AmEast,,11,21,72.0,72.9,-0.91,-8.09,-8.90,-5.02,-13.92,98.84,119.28,-20.45
326,Florida A&M,SWAC,,15,16,70.4,74.6,-4.16,-8.95,-10.06,-3.97,-14.02,93.44,112.71,-19.27
327,Texas Southern,SWAC,,12,18,75.0,78.0,-2.93,-7.98,-5.06,-8.99,-14.05,98.58,117.99,-19.41
328,Massachusetts-Lowell,AmEast,,15,18,74.9,76.3,-1.42,-8.42,-5.12,-9.00,-14.12,98.29,119.15,-20.86
329,Alabama State,SWAC,,10,22,73.2,77.3,-4.13,-8.14,-7.06,-7.15,-14.21,95.74,116.23,-20.50
330,UTSA,American,,5,25,69.5,80.7,-11.27,1.44,-6.89,-7.31,-14.21,97.52,117.72,-20.21
331,Bucknell,Patriot,,10,23,67.4,76.3,-8.94,-5.44,-9.47,-4.91,-14.38,94.36,115.87,-21.51
332,Stonehill,NEC,,12,21,66.4,68.6,-2.18,-9.28,-13.46,-1.14,-14.60,88.84,111.44,-22.60
333,Northern Illinois,MAC,,9,21,69.5,77.8,-8.27,-2.24,-10.40,-4.37,-14.77,94.14,115.77,-21.63
334,Arkansas-Pine Bluff,SWAC,,13,19,77.3,81.0,-3.78,-6.92,-4.78,-10.01,-14.79,99.17,119.30,-20.13
335,FDU,NEC,,11,21,67.2,70.2,-2.97,-7.43,-11.32,-3.67,-14.99,96.39,119.07,-22.68
336,Manhattan,MAAC,,12,20,74.0,78.9,-4.91,-7.90,-4.24,-10.85,-15.10,100.70,122.95,-22.26
337,Army,Patriot,,11,21,72.2,77.2,-5.06,-7.14,-6.81,-8.46,-15.28,96.69,119.76,-23.06
338,North Florida,A-Sun,,7,25,79.6,88.2,-8.56,-2.98,0.18,-15.59,-15.41,103.45,124.92,-21.47
339,North Alabama,A-Sun,,9,21,69.4,77.6,-8.20,-5.51,-10.68,-4.98,-15.65,96.10,119.54,-23.44
340,NJIT,AmEast,,16,17,67.0,73.2,-6.21,-8.26,-10.55,-5.21,-15.76,92.22,115.67,-23.46
Rk,School,Conf,AP Rank,W,L,Pts,Opp,"Margin of VictoryA team's average margin of victory over a period or season"" >MOV","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SOS",OSRS,DSRS,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SRS","Offensive RatingAn estimate of points scored (for teams) or points produced (for players) per 100 possessions."" data-over-header=""Adjusted"" data-filter=""1"" data-name=""Offensive Rating"" >ORtg",DRtg,NRtg
341,Southern Indiana,OVC,,7,23,68.7,73.7,-4.97,-8.98,-10.90,-5.34,-16.23,91.34,115.34,-23.99
342,Niagara,MAAC,,8,22,63.9,71.2,-7.37,-7.85,-14.31,-1.95,-16.27,94.96,120.00,-25.04
343,Chicago State,NEC,,7,25,65.8,76.1,-10.28,-4.93,-10.00,-6.29,-16.28,95.33,119.51,-24.18
344,The Citadel,Southern,,11,22,70.4,77.5,-7.15,-5.91,-9.75,-6.76,-16.51,96.69,122.33,-25.64
345,Maine,AmEast,,8,24,62.5,68.4,-5.91,-9.59,-16.96,0.05,-16.91,87.25,112.67,-25.42
346,Canisius,MAAC,,10,21,62.9,70.5,-7.52,-7.85,-14.91,-2.07,-16.98,90.92,117.09,-26.17
347,New Hampshire,AmEast,,9,21,69.2,74.6,-5.40,-7.26,-9.77,-7.21,-16.98,91.66,117.23,-25.57
348,Maryland-Eastern Shore,MEAC,,9,23,64.4,70.8,-6.41,-8.35,-16.04,-1.44,-17.48,90.18,116.65,-26.48
349,North Carolina Central,MEAC,,14,18,71.8,75.5,-3.63,-8.50,-9.73,-8.41,-18.15,96.86,123.41,-26.55
350,Bryant,AmEast,,9,22,64.8,72.5,-7.61,-7.92,-13.59,-4.60,-18.19,91.28,119.44,-28.17
351,Louisiana-Monroe,Sun Belt,,4,28,72.4,83.9,-11.47,-4.86,-4.46,-14.06,-18.52,97.19,123.73,-26.55
352,Saint Francis (PA),NEC,,7,24,71.5,81.0,-9.48,-5.83,-6.15,-12.71,-18.86,96.06,123.47,-27.41
353,Rider,MAAC,,4,25,63.4,76.0,-12.55,-5.00,-12.77,-6.37,-19.14,92.08,121.31,-29.23
354,Morgan State,MEAC,,14,16,75.3,78.2,-2.97,-10.93,-5.95,-13.31,-19.26,93.53,121.98,-28.45
355,Jackson State,SWAC,,12,21,70.2,83.8,-13.52,-5.96,-7.18,-12.30,-19.48,94.22,121.38,-27.16
356,Kansas City,Summit,,4,27,69.3,83.9,-14.55,-1.92,-10.46,-9.21,-19.67,90.28,117.78,-27.50
357,Alcorn State,SWAC,,9,23,66.9,80.2,-13.28,-6.54,-11.13,-8.70,-19.82,92.80,120.41,-27.61
358,Binghamton,AmEast,,8,23,67.9,74.9,-6.97,-10.78,-10.87,-9.80,-20.67,93.29,124.33,-31.04
359,VMI,Southern,,6,26,72.0,80.0,-8.03,-6.03,-10.24,-10.48,-20.72,94.42,125.38,-30.96
360,South Carolina State,MEAC,,10,22,67.1,78.8,-11.72,-8.63,-11.39,-10.40,-21.79,91.23,122.17,-30.94
Rk,School,Conf,AP Rank,W,L,Pts,Opp,"Margin of VictoryA team's average margin of victory over a period or season"" >MOV","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SOS",OSRS,DSRS,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SRS","Offensive RatingAn estimate of points scored (for teams) or points produced (for players) per 100 possessions."" data-over-header=""Adjusted"" data-filter=""1"" data-name=""Offensive Rating"" >ORtg",DRtg,NRtg
361,Gardner-Webb,Big South,,4,29,68.1,85.5,-17.33,-1.86,-9.90,-12.46,-22.36,92.16,123.73,-31.56
362,Delaware State,MEAC,,8,23,61.2,70.5,-9.32,-10.81,-19.17,-3.39,-22.55,83.56,117.22,-33.66
363,Western Illinois,OVC,,5,26,64.9,76.8,-11.94,-8.16,-14.08,-9.37,-23.44,90.36,125.49,-35.13
364,Coppin State,MEAC,,7,24,65.5,80.4,-14.87,-8.11,-13.14,-11.70,-24.84,87.66,123.49,-35.83
365,Mississippi Valley State,SWAC,,3,30,64.2,83.0,-18.76,-7.89,-16.53,-11.83,-28.36,85.42,124.91,-39.49
